InternetService,Dependents,Partner,StreamingTV,OnlineSecurity,PaperlessBilling,SeniorCitizen,StreamingMovies,tenure_bins,PaymentMethod,DeviceProtection,Contract,TechSupport,monthly_charges_bins,MultipleLines,gender,PhoneService,OnlineBackup,customerID,Churn
DSL,No,No,No,No,Yes,Yes,No,"(-0.073, 7.2]",Mailed check,No,Month-to-month,No,"(18.148999999999997, 28.3]",No phone service,Female,No,No,c0922ce2-7b0c-11ec-a944-acde48001122,1
No,Yes,Yes,No internet service,No internet service,No,No,No internet service,"(28.8, 36.0]",Bank transfer (automatic),No internet service,One year,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,c65d9e7c-7b0c-11ec-a944-acde48001122,0
No,Yes,Yes,No internet service,No internet service,No,No,No internet service,"(7.2, 14.4]",Mailed check,No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,bf04bab6-7b0c-11ec-a944-acde48001122,0
DSL,No,No,Yes,No,Yes,No,Yes,"(50.4, 57.6]",Credit card (automatic),Yes,Two year,Yes,"(78.55, 88.6]",No,Male,Yes,Yes,cb0a60ea-7b0c-11ec-a944-acde48001122,0
No,No,No,No internet service,No internet service,Yes,No,No internet service,"(7.2, 14.4]",Mailed check,No internet service,One year,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,bf94a64e-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,Yes,No,Yes,No,No,No,"(7.2, 14.4]",Bank transfer (automatic),Yes,Month-to-month,No,"(88.6, 98.65]",Yes,Female,Yes,Yes,c1807924-7b0c-11ec-a944-acde48001122,1
Fiber optic,Yes,Yes,Yes,No,Yes,No,Yes,"(28.8, 36.0]",Electronic check,Yes,One year,No,"(88.6, 98.65]",No,Female,Yes,No,c8ce65c4-7b0c-11ec-a944-acde48001122,1
Fiber optic,No,No,Yes,No,No,No,Yes,"(21.6, 28.8]",Bank transfer (automatic),Yes,Two year,Yes,"(98.65, 108.7]",No,Male,Yes,No,d15f732c-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,Yes,No,Yes,No,Yes,No,"(57.6, 64.8]",Credit card (automatic),Yes,One year,No,"(78.55, 88.6]",No,Male,Yes,No,c19d45ea-7b0c-11ec-a944-acde48001122,0
DSL,No,No,No,Yes,Yes,No,No,"(21.6, 28.8]",Credit card (automatic),No,Month-to-month,No,"(48.4, 58.45]",No,Female,Yes,No,cf91f9e8-7b0c-11ec-a944-acde48001122,1
Fiber optic,No,Yes,Yes,Yes,No,No,No,"(57.6, 64.8]",Bank transfer (automatic),Yes,Month-to-month,Yes,"(98.65, 108.7]",Yes,Male,Yes,No,c223ac7a-7b0c-11ec-a944-acde48001122,0
DSL,No,No,No,No,No,No,Yes,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(48.4, 58.45]",No,Male,Yes,No,ce0299ac-7b0c-11ec-a944-acde48001122,1
Fiber optic,Yes,Yes,No,No,Yes,No,No,"(50.4, 57.6]",Mailed check,Yes,One year,Yes,"(78.55, 88.6]",No,Male,Yes,Yes,c7f64f2c-7b0c-11ec-a944-acde48001122,0
No,Yes,Yes,No internet service,No internet service,No,No,No internet service,"(57.6, 64.8]",Bank transfer (automatic),No internet service,One year,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,c651889e-7b0c-11ec-a944-acde48001122,0
DSL,No,No,No,No,Yes,Yes,No,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(38.35, 48.4]",No,Male,Yes,No,c0aa7676-7b0c-11ec-a944-acde48001122,1
DSL,No,No,Yes,Yes,Yes,No,Yes,"(64.8, 72.0]",Bank transfer (automatic),Yes,Two year,Yes,"(78.55, 88.6]",No,Female,Yes,Yes,ca431efe-7b0c-11ec-a944-acde48001122,0
No,No,Yes,No internet service,No internet service,No,No,No internet service,"(64.8, 72.0]",Credit card (automatic),No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",Yes,Male,Yes,No internet service,befb8478-7b0c-11ec-a944-acde48001122,0
DSL,No,No,Yes,Yes,No,No,Yes,"(14.4, 21.6]",Mailed check,Yes,Month-to-month,Yes,"(78.55, 88.6]",No,Female,Yes,Yes,cad4e834-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,Yes,No,Yes,Yes,No,"(28.8, 36.0]",Electronic check,No,Month-to-month,No,"(88.6, 98.65]",Yes,Male,Yes,Yes,c344d1f6-7b0c-11ec-a944-acde48001122,0
DSL,Yes,Yes,Yes,No,Yes,No,Yes,"(28.8, 36.0]",Bank transfer (automatic),No,One year,Yes,"(68.5, 78.55]",Yes,Male,Yes,No,d44a7924-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,Yes,Yes,No,Yes,No,Yes,"(36.0, 43.2]",Electronic check,Yes,One year,Yes,"(98.65, 108.7]",Yes,Male,Yes,No,c26d02c6-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,Yes,No,Yes,No,Yes,"(43.2, 50.4]",Credit card (automatic),Yes,One year,No,"(98.65, 108.7]",Yes,Male,Yes,Yes,c4843944-7b0c-11ec-a944-acde48001122,1
Fiber optic,Yes,Yes,Yes,Yes,Yes,No,No,"(14.4, 21.6]",Mailed check,Yes,Month-to-month,No,"(78.55, 88.6]",No,Male,Yes,No,c5c25458-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,No,No,Yes,Yes,No,"(28.8, 36.0]",Electronic check,No,Month-to-month,No,"(68.5, 78.55]",No,Female,Yes,Yes,d20859e2-7b0c-11ec-a944-acde48001122,1
DSL,Yes,Yes,No,No,Yes,No,Yes,"(64.8, 72.0]",Bank transfer (automatic),Yes,Two year,Yes,"(68.5, 78.55]",Yes,Female,Yes,No,d2ae324a-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,Yes,Yes,Yes,No,Yes,"(57.6, 64.8]",Bank transfer (automatic),Yes,Month-to-month,Yes,"(98.65, 108.7]",No,Female,Yes,No,c2f0c228-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,No,Yes,No,No,Yes,"(57.6, 64.8]",Credit card (automatic),Yes,Two year,Yes,"(98.65, 108.7]",Yes,Male,Yes,No,d1f7d78e-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,Yes,No,Yes,No,Yes,"(28.8, 36.0]",Credit card (automatic),Yes,Month-to-month,No,"(88.6, 98.65]",Yes,Female,Yes,No,c402d1c4-7b0c-11ec-a944-acde48001122,1
DSL,No,No,Yes,No,No,No,Yes,"(57.6, 64.8]",Credit card (automatic),Yes,One year,Yes,"(78.55, 88.6]",Yes,Female,Yes,No,ce48f172-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,Yes,No,Yes,No,Yes,Yes,"(36.0, 43.2]",Credit card (automatic),No,One year,No,"(88.6, 98.65]",Yes,Female,Yes,Yes,c16c5c46-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,Yes,No,No,Yes,Yes,No,"(14.4, 21.6]",Electronic check,No,Month-to-month,No,"(68.5, 78.55]",No,Male,Yes,Yes,c076422a-7b0c-11ec-a944-acde48001122,1
No,Yes,Yes,No internet service,No internet service,No,No,No internet service,"(43.2, 50.4]",Electronic check,No internet service,One year,No internet service,"(18.148999999999997, 28.3]",Yes,Male,Yes,No internet service,c0fef71e-7b0c-11ec-a944-acde48001122,0
DSL,No,Yes,No,Yes,No,No,No,"(36.0, 43.2]",Credit card (automatic),No,One year,No,"(48.4, 58.45]",Yes,Male,Yes,No,ca862aa0-7b0c-11ec-a944-acde48001122,0
Fiber optic,Yes,Yes,Yes,Yes,No,No,Yes,"(64.8, 72.0]",Bank transfer (automatic),Yes,Two year,Yes,"(108.7, 118.75]",Yes,Male,Yes,Yes,c0817dd4-7b0c-11ec-a944-acde48001122,0
DSL,Yes,Yes,No,No,Yes,No,No,"(43.2, 50.4]",Mailed check,Yes,Month-to-month,Yes,"(58.45, 68.5]",No,Male,Yes,Yes,d2a8af82-7b0c-11ec-a944-acde48001122,0
DSL,No,No,No,No,No,Yes,No,"(21.6, 28.8]",Bank transfer (automatic),Yes,Month-to-month,Yes,"(58.45, 68.5]",Yes,Female,Yes,Yes,ce20193c-7b0c-11ec-a944-acde48001122,0
DSL,No,No,No,No,No,No,No,"(-0.073, 7.2]",Bank transfer (automatic),No,Month-to-month,No,"(48.4, 58.45]",No,Female,Yes,Yes,cdbacd5c-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,Yes,No,Yes,No,Yes,"(-0.073, 7.2]",Electronic check,No,Month-to-month,Yes,"(88.6, 98.65]",No,Female,Yes,Yes,c1fb4a0a-7b0c-11ec-a944-acde48001122,1
DSL,No,Yes,No,Yes,No,No,No,"(21.6, 28.8]",Mailed check,No,One year,Yes,"(48.4, 58.45]",No,Male,Yes,No,ca74d05c-7b0c-11ec-a944-acde48001122,0
DSL,No,No,Yes,Yes,Yes,No,No,"(64.8, 72.0]",Bank transfer (automatic),Yes,One year,Yes,"(48.4, 58.45]",No phone service,Male,No,No,cb1a7f7a-7b0c-11ec-a944-acde48001122,0
No,Yes,Yes,No internet service,No internet service,No,No,No internet service,"(28.8, 36.0]",Bank transfer (automatic),No internet service,One year,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,c66dd094-7b0c-11ec-a944-acde48001122,0
DSL,No,Yes,No,No,Yes,No,Yes,"(57.6, 64.8]",Bank transfer (automatic),No,Month-to-month,No,"(38.35, 48.4]",No phone service,Male,No,Yes,cab169e0-7b0c-11ec-a944-acde48001122,1
DSL,No,No,No,No,No,No,No,"(7.2, 14.4]",Electronic check,No,Month-to-month,No,"(48.4, 58.45]",No,Female,Yes,Yes,bf4c85d0-7b0c-11ec-a944-acde48001122,0
Fiber optic,Yes,No,No,No,Yes,No,No,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(68.5, 78.55]",Yes,Male,Yes,No,c89de840-7b0c-11ec-a944-acde48001122,1
No,Yes,No,No internet service,No internet service,No,No,No internet service,"(36.0, 43.2]",Bank transfer (automatic),No internet service,One year,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,c75dd742-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,No,No,Yes,No,No,"(-0.073, 7.2]",Electronic check,Yes,Month-to-month,No,"(68.5, 78.55]",No,Female,Yes,No,bf53ca0c-7b0c-11ec-a944-acde48001122,0
DSL,Yes,Yes,Yes,Yes,No,No,Yes,"(64.8, 72.0]",Bank transfer (automatic),Yes,Two year,Yes,"(78.55, 88.6]",No,Male,Yes,Yes,d4a39be4-7b0c-11ec-a944-acde48001122,0
DSL,Yes,Yes,No,Yes,Yes,No,No,"(50.4, 57.6]",Mailed check,Yes,One year,Yes,"(58.45, 68.5]",No,Female,Yes,No,d5000fbe-7b0c-11ec-a944-acde48001122,0
DSL,No,No,No,Yes,Yes,No,No,"(43.2, 50.4]",Credit card (automatic),Yes,One year,Yes,"(58.45, 68.5]",No,Female,Yes,No,cf485b76-7b0c-11ec-a944-acde48001122,1
Fiber optic,No,No,Yes,No,Yes,No,No,"(43.2, 50.4]",Credit card (automatic),Yes,One year,No,"(88.6, 98.65]",Yes,Male,Yes,Yes,d19f7d50-7b0c-11ec-a944-acde48001122,0
No,Yes,Yes,No internet service,No internet service,No,No,No internet service,"(57.6, 64.8]",Credit card (automatic),No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,bf002140-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,Yes,No,No,Yes,No,Yes,"(28.8, 36.0]",Electronic check,No,Month-to-month,No,"(78.55, 88.6]",Yes,Female,Yes,No,c3f0aada-7b0c-11ec-a944-acde48001122,1
Fiber optic,Yes,Yes,No,No,No,Yes,No,"(43.2, 50.4]",Bank transfer (automatic),No,Month-to-month,No,"(68.5, 78.55]",No,Female,Yes,No,c816af6a-7b0c-11ec-a944-acde48001122,1
Fiber optic,No,No,Yes,Yes,Yes,No,Yes,"(28.8, 36.0]",Mailed check,Yes,Two year,Yes,"(108.7, 118.75]",Yes,Female,Yes,Yes,c307fff6-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,No,Yes,Yes,No,No,"(21.6, 28.8]",Credit card (automatic),No,Month-to-month,No,"(78.55, 88.6]",Yes,Male,Yes,Yes,d2865cde-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,Yes,Yes,Yes,Yes,No,Yes,"(21.6, 28.8]",Electronic check,No,Month-to-month,Yes,"(98.65, 108.7]",No,Male,Yes,Yes,c8608aea-7b0c-11ec-a944-acde48001122,0
DSL,No,Yes,Yes,No,Yes,Yes,Yes,"(64.8, 72.0]",Credit card (automatic),Yes,Two year,No,"(68.5, 78.55]",Yes,Male,Yes,No,cb73edee-7b0c-11ec-a944-acde48001122,0
DSL,No,No,Yes,No,No,No,No,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(58.45, 68.5]",No,Male,Yes,Yes,ce5b5736-7b0c-11ec-a944-acde48001122,0
DSL,No,No,Yes,Yes,Yes,No,No,"(7.2, 14.4]",Credit card (automatic),No,Month-to-month,Yes,"(38.35, 48.4]",No phone service,Male,No,No,cb5afba4-7b0c-11ec-a944-acde48001122,1
Fiber optic,No,Yes,No,Yes,Yes,Yes,Yes,"(28.8, 36.0]",Electronic check,No,One year,Yes,"(88.6, 98.65]",No,Male,Yes,Yes,c1a9bb9a-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,Yes,No,No,No,No,No,"(36.0, 43.2]",Electronic check,No,Month-to-month,No,"(78.55, 88.6]",Yes,Female,Yes,Yes,c4a39ffa-7b0c-11ec-a944-acde48001122,0
DSL,No,No,No,No,No,Yes,No,"(21.6, 28.8]",Credit card (automatic),No,Month-to-month,No,"(48.4, 58.45]",Yes,Male,Yes,Yes,ce1f0a7e-7b0c-11ec-a944-acde48001122,0
No,Yes,No,No internet service,No internet service,Yes,No,No internet service,"(7.2, 14.4]",Bank transfer (automatic),No internet service,One year,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,c762f93e-7b0c-11ec-a944-acde48001122,0
DSL,No,Yes,No,Yes,No,No,Yes,"(57.6, 64.8]",Credit card (automatic),Yes,One year,Yes,"(78.55, 88.6]",Yes,Male,Yes,Yes,cc56ff58-7b0c-11ec-a944-acde48001122,0
No,Yes,Yes,No internet service,No internet service,No,No,No internet service,"(21.6, 28.8]",Mailed check,No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,bf7b6774-7b0c-11ec-a944-acde48001122,0
DSL,No,No,No,No,No,Yes,No,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(18.148999999999997, 28.3]",No phone service,Female,No,No,bf98d098-7b0c-11ec-a944-acde48001122,1
Fiber optic,No,Yes,Yes,Yes,Yes,No,Yes,"(50.4, 57.6]",Electronic check,No,One year,No,"(88.6, 98.65]",Yes,Female,Yes,No,c82ef052-7b0c-11ec-a944-acde48001122,0
DSL,No,Yes,Yes,No,Yes,No,Yes,"(50.4, 57.6]",Credit card (automatic),No,One year,No,"(68.5, 78.55]",Yes,Female,Yes,No,cb961cf2-7b0c-11ec-a944-acde48001122,1
DSL,Yes,No,Yes,No,Yes,No,Yes,"(14.4, 21.6]",Mailed check,No,Month-to-month,No,"(58.45, 68.5]",No,Female,Yes,No,d3f852c0-7b0c-11ec-a944-acde48001122,1
Fiber optic,No,No,No,No,Yes,No,No,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(78.55, 88.6]",Yes,Male,Yes,Yes,bf559bde-7b0c-11ec-a944-acde48001122,1
Fiber optic,No,No,Yes,Yes,Yes,Yes,Yes,"(64.8, 72.0]",Electronic check,Yes,Two year,Yes,"(108.7, 118.75]",Yes,Male,Yes,No,c05e1682-7b0c-11ec-a944-acde48001122,0
No,No,Yes,No internet service,No internet service,No,No,No internet service,"(50.4, 57.6]",Credit card (automatic),No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,c560a5e6-7b0c-11ec-a944-acde48001122,0
DSL,No,No,No,No,Yes,No,No,"(-0.073, 7.2]",Credit card (automatic),No,One year,No,"(18.148999999999997, 28.3]",No phone service,Male,No,No,cde0f586-7b0c-11ec-a944-acde48001122,0
No,Yes,Yes,No internet service,No internet service,Yes,No,No internet service,"(64.8, 72.0]",Bank transfer (automatic),No internet service,One year,No internet service,"(18.148999999999997, 28.3]",Yes,Female,Yes,No internet service,c6a3d22a-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,Yes,No,Yes,No,Yes,"(7.2, 14.4]",Electronic check,Yes,Month-to-month,No,"(98.65, 108.7]",Yes,Male,Yes,Yes,c2808792-7b0c-11ec-a944-acde48001122,1
Fiber optic,No,No,Yes,No,No,No,Yes,"(7.2, 14.4]",Electronic check,No,Month-to-month,No,"(98.65, 108.7]",Yes,Male,Yes,Yes,d16635e0-7b0c-11ec-a944-acde48001122,1
DSL,No,Yes,No,No,Yes,Yes,No,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(18.148999999999997, 28.3]",No phone service,Female,No,No,caab1a86-7b0c-11ec-a944-acde48001122,1
No,Yes,No,No internet service,No internet service,No,No,No internet service,"(21.6, 28.8]",Mailed check,No internet service,Month-to-month,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,c7670d3a-7b0c-11ec-a944-acde48001122,0
Fiber optic,Yes,Yes,Yes,No,Yes,No,No,"(7.2, 14.4]",Electronic check,Yes,One year,No,"(88.6, 98.65]",Yes,Male,Yes,No,c9d7dcf2-7b0c-11ec-a944-acde48001122,0
DSL,No,No,No,Yes,No,No,No,"(7.2, 14.4]",Mailed check,No,Month-to-month,Yes,"(48.4, 58.45]",No,Male,Yes,No,cd47564c-7b0c-11ec-a944-acde48001122,1
Fiber optic,Yes,Yes,No,No,No,No,No,"(28.8, 36.0]",Credit card (automatic),Yes,Month-to-month,Yes,"(78.55, 88.6]",Yes,Female,Yes,Yes,c7d48c48-7b0c-11ec-a944-acde48001122,0
No,No,No,No internet service,No internet service,No,No,No internet service,"(7.2, 14.4]",Credit card (automatic),No internet service,Month-to-month,No internet service,"(18.148999999999997, 28.3]",Yes,Male,Yes,No internet service,c61ee4de-7b0c-11ec-a944-acde48001122,1
No,No,Yes,No internet service,No internet service,Yes,No,No internet service,"(21.6, 28.8]",Bank transfer (automatic),No internet service,One year,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,c7259cce-7b0c-11ec-a944-acde48001122,0
No,No,No,No internet service,No internet service,No,No,No internet service,"(-0.073, 7.2]",Mailed check,No internet service,Month-to-month,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,becac54a-7b0c-11ec-a944-acde48001122,1
DSL,Yes,No,No,Yes,Yes,No,Yes,"(36.0, 43.2]",Electronic check,No,Month-to-month,No,"(58.45, 68.5]",No,Female,Yes,Yes,d3efe55e-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,Yes,No,Yes,Yes,No,No,"(36.0, 43.2]",Bank transfer (automatic),Yes,One year,Yes,"(78.55, 88.6]",No,Male,Yes,No,c177590c-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,No,No,No,No,No,"(28.8, 36.0]",Electronic check,No,Month-to-month,No,"(58.45, 68.5]",No,Male,Yes,No,d0eba640-7b0c-11ec-a944-acde48001122,1
DSL,No,Yes,Yes,Yes,Yes,No,Yes,"(36.0, 43.2]",Electronic check,Yes,Two year,Yes,"(78.55, 88.6]",No,Female,Yes,No,cc07b7e0-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,Yes,No,Yes,No,Yes,"(21.6, 28.8]",Bank transfer (automatic),Yes,One year,No,"(98.65, 108.7]",Yes,Male,Yes,No,c1792b2e-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,Yes,Yes,Yes,Yes,No,Yes,"(57.6, 64.8]",Mailed check,Yes,One year,Yes,"(98.65, 108.7]",Yes,Male,Yes,No,c8476bdc-7b0c-11ec-a944-acde48001122,0
No,Yes,Yes,No internet service,No internet service,No,No,No internet service,"(21.6, 28.8]",Mailed check,No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",Yes,Female,Yes,No internet service,bf798d0a-7b0c-11ec-a944-acde48001122,0
DSL,No,Yes,Yes,No,Yes,No,No,"(28.8, 36.0]",Electronic check,No,One year,Yes,"(68.5, 78.55]",Yes,Male,Yes,Yes,cc977592-7b0c-11ec-a944-acde48001122,0
DSL,No,No,No,Yes,No,No,No,"(-0.073, 7.2]",Electronic check,No,Month-to-month,Yes,"(48.4, 58.45]",No,Female,Yes,No,cd2ba6cc-7b0c-11ec-a944-acde48001122,1
Fiber optic,No,No,No,Yes,No,Yes,Yes,"(50.4, 57.6]",Credit card (automatic),Yes,Two year,Yes,"(98.65, 108.7]",Yes,Female,Yes,No,d2737312-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,Yes,Yes,Yes,No,Yes,"(50.4, 57.6]",Credit card (automatic),No,One year,No,"(98.65, 108.7]",No,Female,Yes,Yes,c31e4e64-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,No,No,Yes,No,No,"(-0.073, 7.2]",Bank transfer (automatic),No,Month-to-month,No,"(68.5, 78.55]",No,Female,Yes,Yes,d0d889e8-7b0c-11ec-a944-acde48001122,1
No,Yes,Yes,No internet service,No internet service,No,No,No internet service,"(36.0, 43.2]",Credit card (automatic),No internet service,One year,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,c6721578-7b0c-11ec-a944-acde48001122,0
No,No,No,No internet service,No internet service,No,No,No internet service,"(57.6, 64.8]",Bank transfer (automatic),No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,c5fc0a54-7b0c-11ec-a944-acde48001122,0
No,No,No,No internet service,No internet service,No,No,No internet service,"(50.4, 57.6]",Mailed check,No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,bf5cfd2a-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,No,Yes,Yes,Yes,Yes,"(64.8, 72.0]",Bank transfer (automatic),Yes,Two year,Yes,"(98.65, 108.7]",Yes,Female,Yes,Yes,d1d45052-7b0c-11ec-a944-acde48001122,0
DSL,No,No,Yes,No,Yes,No,Yes,"(28.8, 36.0]",Credit card (automatic),No,One year,No,"(68.5, 78.55]",Yes,Female,Yes,No,caf4299c-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,Yes,Yes,No,Yes,No,Yes,"(14.4, 21.6]",Electronic check,Yes,Month-to-month,No,"(98.65, 108.7]",Yes,Male,Yes,Yes,c288f3be-7b0c-11ec-a944-acde48001122,0
No,No,No,No internet service,No internet service,Yes,No,No internet service,"(21.6, 28.8]",Credit card (automatic),No internet service,One year,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,c4f1b6f4-7b0c-11ec-a944-acde48001122,0
No,No,Yes,No internet service,No internet service,Yes,No,No internet service,"(-0.073, 7.2]",Mailed check,No internet service,Month-to-month,No internet service,"(18.148999999999997, 28.3]",Yes,Male,Yes,No internet service,c71a2290-7b0c-11ec-a944-acde48001122,0
No,No,No,No internet service,No internet service,No,No,No internet service,"(7.2, 14.4]",Mailed check,No internet service,One year,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,bf0693c2-7b0c-11ec-a944-acde48001122,0
DSL,Yes,Yes,Yes,Yes,No,No,Yes,"(28.8, 36.0]",Electronic check,Yes,One year,Yes,"(58.45, 68.5]",No phone service,Male,No,No,d4a94954-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,Yes,No,No,Yes,No,No,"(36.0, 43.2]",Bank transfer (automatic),Yes,One year,Yes,"(78.55, 88.6]",No,Female,Yes,Yes,c41116a8-7b0c-11ec-a944-acde48001122,0
DSL,No,Yes,No,Yes,No,No,No,"(64.8, 72.0]",Bank transfer (automatic),No,Two year,Yes,"(58.45, 68.5]",Yes,Male,Yes,Yes,cc55f054-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,Yes,No,Yes,Yes,Yes,No,"(50.4, 57.6]",Electronic check,No,Month-to-month,No,"(68.5, 78.55]",Yes,Female,Yes,No,c1d7a4ba-7b0c-11ec-a944-acde48001122,1
Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,"(57.6, 64.8]",Bank transfer (automatic),No,Month-to-month,No,"(88.6, 98.65]",Yes,Male,Yes,No,c24f2f76-7b0c-11ec-a944-acde48001122,1
Fiber optic,No,Yes,Yes,Yes,Yes,No,Yes,"(28.8, 36.0]",Electronic check,No,Month-to-month,No,"(88.6, 98.65]",No,Male,Yes,No,c8553212-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,Yes,No,Yes,No,Yes,"(28.8, 36.0]",Electronic check,No,Month-to-month,No,"(98.65, 108.7]",Yes,Female,Yes,Yes,bfade47e-7b0c-11ec-a944-acde48001122,0
DSL,No,No,No,No,Yes,No,No,"(-0.073, 7.2]",Mailed check,No,Month-to-month,No,"(38.35, 48.4]",No,Male,Yes,No,bed51ec8-7b0c-11ec-a944-acde48001122,0
No,No,Yes,No internet service,No internet service,No,No,No internet service,"(21.6, 28.8]",Mailed check,No internet service,One year,No internet service,"(18.148999999999997, 28.3]",Yes,Female,Yes,No internet service,bfe9bb3e-7b0c-11ec-a944-acde48001122,0
DSL,No,No,No,Yes,Yes,No,No,"(-0.073, 7.2]",Mailed check,No,Month-to-month,Yes,"(48.4, 58.45]",No,Male,Yes,No,bfc72b50-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,Yes,No,Yes,No,Yes,"(-0.073, 7.2]",Bank transfer (automatic),No,Month-to-month,No,"(88.6, 98.65]",Yes,Female,Yes,No,d19318da-7b0c-11ec-a944-acde48001122,1
Fiber optic,No,Yes,No,No,Yes,Yes,No,"(-0.073, 7.2]",Mailed check,No,Month-to-month,No,"(68.5, 78.55]",Yes,Male,Yes,No,c075590a-7b0c-11ec-a944-acde48001122,1
Fiber optic,No,No,Yes,Yes,Yes,No,No,"(14.4, 21.6]",Electronic check,No,Month-to-month,No,"(88.6, 98.65]",Yes,Female,Yes,Yes,c3d664fe-7b0c-11ec-a944-acde48001122,1
Fiber optic,Yes,Yes,Yes,No,Yes,No,Yes,"(57.6, 64.8]",Bank transfer (automatic),Yes,One year,Yes,"(98.65, 108.7]",Yes,Male,Yes,No,c953bfbc-7b0c-11ec-a944-acde48001122,0
No,No,No,No internet service,No internet service,No,No,No internet service,"(50.4, 57.6]",Bank transfer (automatic),No internet service,One year,No internet service,"(18.148999999999997, 28.3]",Yes,Male,Yes,No internet service,c60438dc-7b0c-11ec-a944-acde48001122,0
