,PaymentMethod_x,PaymentMethod_y
753,Mailed check,Mailed check
754,Electronic check,Electronic check
755,Electronic check,Electronic check
756,Bank transfer (automatic),Bank transfer (automatic)
757,Mailed check,Mailed check
758,Bank transfer (automatic),Bank transfer (automatic)
759,Bank transfer (automatic),Bank transfer (automatic)
760,Mailed check,Mailed check
761,Electronic check,Mailed check
762,Electronic check,Bank transfer (automatic)
763,Bank transfer (automatic),Bank transfer (automatic)
764,Mailed check,Mailed check
765,Mailed check,Mailed check
766,Mailed check,Mailed check
767,Bank transfer (automatic),Bank transfer (automatic)
768,Electronic check,Electronic check
769,Mailed check,Mailed check
770,Credit card (automatic),Credit card (automatic)
771,Electronic check,Electronic check
772,Mailed check,Mailed check
773,Mailed check,Mailed check
774,Electronic check,Electronic check
775,Credit card (automatic),Credit card (automatic)
776,Mailed check,Mailed check
777,Electronic check,Mailed check
778,Credit card (automatic),Credit card (automatic)
779,Electronic check,Electronic check
780,Credit card (automatic),Credit card (automatic)
781,Mailed check,Mailed check
782,Credit card (automatic),Credit card (automatic)
783,Electronic check,Electronic check
784,Bank transfer (automatic),Bank transfer (automatic)
785,Electronic check,Bank transfer (automatic)
786,Bank transfer (automatic),Bank transfer (automatic)
787,Bank transfer (automatic),Bank transfer (automatic)
788,Electronic check,Electronic check
789,Bank transfer (automatic),Bank transfer (automatic)
790,Credit card (automatic),Credit card (automatic)
791,Credit card (automatic),Credit card (automatic)
792,Mailed check,Mailed check
793,Credit card (automatic),Credit card (automatic)
794,Credit card (automatic),Credit card (automatic)
795,Mailed check,Mailed check
796,Credit card (automatic),Credit card (automatic)
797,Bank transfer (automatic),Bank transfer (automatic)
798,Electronic check,Mailed check
799,Electronic check,Electronic check
800,Credit card (automatic),Credit card (automatic)
801,Electronic check,Electronic check
802,Mailed check,Mailed check
803,Credit card (automatic),Credit card (automatic)
804,Electronic check,Electronic check
805,Bank transfer (automatic),Bank transfer (automatic)
806,Credit card (automatic),Credit card (automatic)
807,Credit card (automatic),Credit card (automatic)
808,Electronic check,Mailed check
809,Electronic check,Electronic check
810,Bank transfer (automatic),Bank transfer (automatic)
811,Credit card (automatic),Credit card (automatic)
812,Electronic check,Electronic check
813,Bank transfer (automatic),Bank transfer (automatic)
814,Bank transfer (automatic),Bank transfer (automatic)
815,Mailed check,Mailed check
816,Mailed check,Mailed check
817,Bank transfer (automatic),Bank transfer (automatic)
818,Electronic check,Electronic check
819,Credit card (automatic),Credit card (automatic)
820,Electronic check,Credit card (automatic)
821,Credit card (automatic),Credit card (automatic)
822,Electronic check,Electronic check
823,Credit card (automatic),Credit card (automatic)
824,Credit card (automatic),Credit card (automatic)
825,Credit card (automatic),Credit card (automatic)
826,Bank transfer (automatic),Bank transfer (automatic)
827,Mailed check,Mailed check
828,Electronic check,Electronic check
829,Electronic check,Electronic check
830,Electronic check,Credit card (automatic)
831,Credit card (automatic),Credit card (automatic)
832,Credit card (automatic),Credit card (automatic)
833,Electronic check,Electronic check
834,Electronic check,Credit card (automatic)
835,Electronic check,Electronic check
836,Credit card (automatic),Credit card (automatic)
837,Mailed check,Mailed check
838,Credit card (automatic),Credit card (automatic)
839,Credit card (automatic),Credit card (automatic)
840,Electronic check,Electronic check
841,Credit card (automatic),Credit card (automatic)
842,Bank transfer (automatic),Bank transfer (automatic)
843,Bank transfer (automatic),Bank transfer (automatic)
844,Electronic check,Electronic check
845,Mailed check,Mailed check
846,Bank transfer (automatic),Bank transfer (automatic)
847,Credit card (automatic),Credit card (automatic)
848,Credit card (automatic),Credit card (automatic)
849,Credit card (automatic),Credit card (automatic)
850,Bank transfer (automatic),Bank transfer (automatic)
851,Mailed check,Mailed check
852,Mailed check,Mailed check
853,Electronic check,Electronic check
854,Credit card (automatic),Credit card (automatic)
855,Electronic check,Electronic check
856,Credit card (automatic),Credit card (automatic)
857,Electronic check,Electronic check
858,Electronic check,Electronic check
859,Credit card (automatic),Credit card (automatic)
860,Credit card (automatic),Credit card (automatic)
861,Bank transfer (automatic),Bank transfer (automatic)
862,Electronic check,Electronic check
863,Electronic check,Bank transfer (automatic)
864,Credit card (automatic),Credit card (automatic)
865,Mailed check,Mailed check
866,Bank transfer (automatic),Bank transfer (automatic)
867,Mailed check,Mailed check
868,Electronic check,Electronic check
869,Mailed check,Mailed check
870,Bank transfer (automatic),Bank transfer (automatic)
871,Credit card (automatic),Credit card (automatic)
872,Credit card (automatic),Credit card (automatic)
873,Electronic check,Electronic check
874,Bank transfer (automatic),Bank transfer (automatic)
875,Credit card (automatic),Credit card (automatic)
876,Electronic check,Bank transfer (automatic)
877,Bank transfer (automatic),Bank transfer (automatic)
878,Electronic check,Credit card (automatic)
879,Bank transfer (automatic),Bank transfer (automatic)
880,Electronic check,Electronic check
881,Credit card (automatic),Credit card (automatic)
882,Electronic check,Electronic check
883,Electronic check,Electronic check
884,Credit card (automatic),Credit card (automatic)
885,Mailed check,Mailed check
886,Electronic check,Electronic check
887,Bank transfer (automatic),Bank transfer (automatic)
888,Credit card (automatic),Credit card (automatic)
889,Electronic check,Electronic check
890,Electronic check,Mailed check
891,Bank transfer (automatic),Bank transfer (automatic)
892,Credit card (automatic),Credit card (automatic)
893,Electronic check,Electronic check
894,Credit card (automatic),Credit card (automatic)
895,Credit card (automatic),Credit card (automatic)
896,Bank transfer (automatic),Bank transfer (automatic)
897,Electronic check,Bank transfer (automatic)
898,Bank transfer (automatic),Bank transfer (automatic)
899,Credit card (automatic),Credit card (automatic)
900,Mailed check,Mailed check
901,Credit card (automatic),Credit card (automatic)
902,Electronic check,Mailed check
903,Credit card (automatic),Credit card (automatic)
904,Credit card (automatic),Credit card (automatic)
905,Electronic check,Electronic check
906,Electronic check,Electronic check
907,Bank transfer (automatic),Bank transfer (automatic)
908,Mailed check,Mailed check
909,Electronic check,Electronic check
910,Electronic check,Electronic check
911,Credit card (automatic),Credit card (automatic)
912,Bank transfer (automatic),Bank transfer (automatic)
913,Credit card (automatic),Credit card (automatic)
914,Bank transfer (automatic),Bank transfer (automatic)
915,Electronic check,Electronic check
916,Bank transfer (automatic),Bank transfer (automatic)
917,Bank transfer (automatic),Bank transfer (automatic)
918,Electronic check,Bank transfer (automatic)
919,Mailed check,Mailed check
920,Bank transfer (automatic),Bank transfer (automatic)
921,Mailed check,Mailed check
922,Electronic check,Electronic check
923,Credit card (automatic),Credit card (automatic)
924,Electronic check,Electronic check
925,Bank transfer (automatic),Bank transfer (automatic)
926,Electronic check,Electronic check
927,Electronic check,Electronic check
928,Credit card (automatic),Credit card (automatic)
929,Electronic check,Electronic check
930,Bank transfer (automatic),Bank transfer (automatic)
931,Bank transfer (automatic),Bank transfer (automatic)
932,Credit card (automatic),Credit card (automatic)
933,Electronic check,Electronic check
934,Mailed check,Mailed check
935,Electronic check,Electronic check
936,Mailed check,Mailed check
937,Electronic check,Electronic check
938,Credit card (automatic),Credit card (automatic)
939,Mailed check,Mailed check
940,Bank transfer (automatic),Bank transfer (automatic)
941,Electronic check,Electronic check
942,Credit card (automatic),Credit card (automatic)
943,Bank transfer (automatic),Bank transfer (automatic)
944,Bank transfer (automatic),Bank transfer (automatic)
945,Bank transfer (automatic),Bank transfer (automatic)
946,Mailed check,Mailed check
947,Mailed check,Mailed check
948,Electronic check,Electronic check
949,Bank transfer (automatic),Bank transfer (automatic)
950,Mailed check,Mailed check
951,Electronic check,Credit card (automatic)
952,Mailed check,Mailed check
953,Electronic check,Electronic check
954,Electronic check,Electronic check
955,Credit card (automatic),Credit card (automatic)
956,Bank transfer (automatic),Bank transfer (automatic)
957,Electronic check,Electronic check
958,Bank transfer (automatic),Bank transfer (automatic)
959,Electronic check,Electronic check
960,Bank transfer (automatic),Bank transfer (automatic)
961,Mailed check,Mailed check
962,Bank transfer (automatic),Bank transfer (automatic)
963,Bank transfer (automatic),Bank transfer (automatic)
964,Mailed check,Mailed check
965,Credit card (automatic),Credit card (automatic)
966,Electronic check,Electronic check
967,Mailed check,Mailed check
968,Credit card (automatic),Credit card (automatic)
969,Electronic check,Electronic check
970,Electronic check,Electronic check
971,Bank transfer (automatic),Bank transfer (automatic)
972,Bank transfer (automatic),Bank transfer (automatic)
973,Electronic check,Electronic check
974,Credit card (automatic),Credit card (automatic)
975,Electronic check,Credit card (automatic)
976,Electronic check,Electronic check
977,Electronic check,Electronic check
978,Electronic check,Credit card (automatic)
979,Bank transfer (automatic),Bank transfer (automatic)
980,Bank transfer (automatic),Bank transfer (automatic)
981,Mailed check,Mailed check
982,Electronic check,Bank transfer (automatic)
983,Electronic check,Electronic check
984,Bank transfer (automatic),Bank transfer (automatic)
985,Bank transfer (automatic),Bank transfer (automatic)
986,Bank transfer (automatic),Bank transfer (automatic)
987,Bank transfer (automatic),Bank transfer (automatic)
988,Mailed check,Mailed check
989,Credit card (automatic),Credit card (automatic)
990,Bank transfer (automatic),Bank transfer (automatic)
991,Credit card (automatic),Credit card (automatic)
992,Credit card (automatic),Credit card (automatic)
993,Credit card (automatic),Credit card (automatic)
994,Credit card (automatic),Credit card (automatic)
995,Credit card (automatic),Credit card (automatic)
996,Credit card (automatic),Credit card (automatic)
997,Electronic check,Bank transfer (automatic)
998,Bank transfer (automatic),Bank transfer (automatic)
999,Electronic check,Electronic check
1000,Electronic check,Electronic check
1001,Electronic check,Electronic check
1002,Mailed check,Mailed check
1003,Mailed check,Mailed check
1004,Mailed check,Mailed check
1005,Credit card (automatic),Credit card (automatic)
1006,Electronic check,Electronic check
1007,Electronic check,Electronic check
1008,Credit card (automatic),Credit card (automatic)
1009,Electronic check,Credit card (automatic)
1010,Mailed check,Mailed check
1011,Mailed check,Mailed check
1012,Bank transfer (automatic),Bank transfer (automatic)
1013,Electronic check,Electronic check
1014,Electronic check,Electronic check
1015,Credit card (automatic),Credit card (automatic)
1016,Mailed check,Mailed check
1017,Bank transfer (automatic),Bank transfer (automatic)
1018,Electronic check,Credit card (automatic)
1019,Mailed check,Mailed check
1020,Credit card (automatic),Credit card (automatic)
