InternetService,Dependents,Partner,StreamingTV,OnlineSecurity,PaperlessBilling,SeniorCitizen,StreamingMovies,tenure_bins,PaymentMethod,DeviceProtection,Contract,TechSupport,monthly_charges_bins,MultipleLines,gender,PhoneService,OnlineBackup,original_customer_count,original_churn_sum,original_customer_ratio,original_churn_ratio,new_customer_count_float,new_customer_count_int,new_customer_optimized,new_churn_customers
No,No,Yes,No internet service,No internet service,No,No,No internet service,"(64.8, 72.0]",Credit card (automatic),No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,4,0,0.0005679397983813716,0.0,4.040891665483459,4.0,4,0
Fiber optic,No,No,Yes,No,Yes,No,No,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(78.55, 88.6]",Yes,Female,Yes,No,4,2,0.0005679397983813716,0.5,4.040891665483459,4.0,4,2
Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Yes,"(64.8, 72.0]",Credit card (automatic),Yes,Two year,Yes,"(108.7, 118.75]",Yes,Female,Yes,Yes,4,0,0.0005679397983813716,0.0,4.040891665483459,4.0,4,0
No,No,No,No internet service,No internet service,Yes,No,No internet service,"(-0.073, 7.2]",Credit card (automatic),No internet service,Month-to-month,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,4,0,0.0005679397983813716,0.0,4.040891665483459,4.0,4,0
DSL,No,No,No,No,Yes,No,No,"(-0.073, 7.2]",Mailed check,No,Month-to-month,No,"(18.148999999999997, 28.3]",No phone service,Female,No,No,4,2,0.0005679397983813716,0.5,4.040891665483459,4.0,4,2
No,Yes,Yes,No internet service,No internet service,No,No,No internet service,"(43.2, 50.4]",Mailed check,No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",Yes,Male,Yes,No internet service,4,0,0.0005679397983813716,0.0,4.040891665483459,4.0,4,0
No,No,No,No internet service,No internet service,No,No,No internet service,"(21.6, 28.8]",Credit card (automatic),No internet service,One year,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,4,0,0.0005679397983813716,0.0,4.040891665483459,4.0,4,0
Fiber optic,No,No,No,No,Yes,Yes,No,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(68.5, 78.55]",Yes,Female,Yes,No,4,2,0.0005679397983813716,0.5,4.040891665483459,4.0,4,2
No,No,No,No internet service,No internet service,No,No,No internet service,"(14.4, 21.6]",Mailed check,No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,4,0,0.0005679397983813716,0.0,4.040891665483459,4.0,4,0
Fiber optic,Yes,Yes,No,No,Yes,No,No,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(68.5, 78.55]",No,Female,Yes,No,4,2,0.0005679397983813716,0.5,4.040891665483459,4.0,4,2
Fiber optic,No,Yes,No,No,Yes,No,No,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(68.5, 78.55]",No,Female,Yes,No,4,2,0.0005679397983813716,0.5,4.040891665483459,4.0,4,2
DSL,No,No,No,No,No,No,No,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(18.148999999999997, 28.3]",No phone service,Female,No,No,4,2,0.0005679397983813716,0.5,4.040891665483459,4.0,4,2
No,No,No,No internet service,No internet service,No,No,No internet service,"(14.4, 21.6]",Mailed check,No internet service,Month-to-month,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,4,0,0.0005679397983813716,0.0,4.040891665483459,4.0,4,0
Fiber optic,No,No,Yes,No,Yes,Yes,Yes,"(14.4, 21.6]",Electronic check,No,Month-to-month,No,"(88.6, 98.65]",Yes,Female,Yes,No,4,3,0.0005679397983813716,0.75,4.040891665483459,4.0,4,3
Fiber optic,No,No,Yes,No,Yes,No,Yes,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(88.6, 98.65]",No,Female,Yes,No,4,4,0.0005679397983813716,1.0,4.040891665483459,4.0,4,4
No,Yes,Yes,No internet service,No internet service,No,No,No internet service,"(14.4, 21.6]",Mailed check,No internet service,One year,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,4,0,0.0005679397983813716,0.0,4.040891665483459,4.0,4,0
Fiber optic,No,No,No,No,Yes,No,Yes,"(7.2, 14.4]",Electronic check,No,Month-to-month,No,"(78.55, 88.6]",Yes,Female,Yes,No,4,2,0.0005679397983813716,0.5,4.040891665483459,4.0,4,2
No,No,No,No internet service,No internet service,No,No,No internet service,"(14.4, 21.6]",Credit card (automatic),No internet service,One year,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,4,0,0.0005679397983813716,0.0,4.040891665483459,4.0,4,0
DSL,Yes,Yes,Yes,Yes,No,No,Yes,"(64.8, 72.0]",Credit card (automatic),Yes,Two year,Yes,"(88.6, 98.65]",Yes,Female,Yes,Yes,4,0,0.0005679397983813716,0.0,4.040891665483459,4.0,4,0
No,Yes,Yes,No internet service,No internet service,No,No,No internet service,"(43.2, 50.4]",Credit card (automatic),No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,4,0,0.0005679397983813716,0.0,4.040891665483459,4.0,4,0
Fiber optic,Yes,Yes,No,No,Yes,No,No,"(-0.073, 7.2]",Mailed check,No,Month-to-month,No,"(68.5, 78.55]",No,Male,Yes,No,3,2,0.0004259548487860287,0.6666666666666666,3.030668749112594,3.0,3,2
No,Yes,Yes,No internet service,No internet service,No,No,No internet service,"(36.0, 43.2]",Bank transfer (automatic),No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,3,0,0.0004259548487860287,0.0,3.030668749112594,3.0,3,0
No,No,Yes,No internet service,No internet service,No,No,No internet service,"(43.2, 50.4]",Mailed check,No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,3,0,0.0004259548487860287,0.0,3.030668749112594,3.0,3,0
No,Yes,Yes,No internet service,No internet service,No,No,No internet service,"(36.0, 43.2]",Mailed check,No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,3,0,0.0004259548487860287,0.0,3.030668749112594,3.0,3,0
Fiber optic,No,No,No,No,Yes,No,No,"(-0.073, 7.2]",Bank transfer (automatic),No,Month-to-month,No,"(68.5, 78.55]",No,Female,Yes,No,3,2,0.0004259548487860287,0.6666666666666666,3.030668749112594,3.0,3,2
Fiber optic,Yes,Yes,Yes,Yes,No,No,Yes,"(64.8, 72.0]",Credit card (automatic),Yes,Two year,Yes,"(108.7, 118.75]",Yes,Female,Yes,Yes,3,0,0.0004259548487860287,0.0,3.030668749112594,3.0,3,0
No,No,Yes,No internet service,No internet service,No,No,No internet service,"(57.6, 64.8]",Credit card (automatic),No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,3,0,0.0004259548487860287,0.0,3.030668749112594,3.0,3,0
Fiber optic,No,No,No,No,Yes,No,No,"(-0.073, 7.2]",Mailed check,No,Month-to-month,No,"(68.5, 78.55]",Yes,Female,Yes,No,3,1,0.0004259548487860287,0.3333333333333333,3.030668749112594,3.0,3,1
No,Yes,Yes,No internet service,No internet service,No,No,No internet service,"(50.4, 57.6]",Bank transfer (automatic),No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,3,0,0.0004259548487860287,0.0,3.030668749112594,3.0,3,0
DSL,No,No,No,No,No,No,No,"(7.2, 14.4]",Electronic check,No,Month-to-month,No,"(48.4, 58.45]",No,Female,Yes,Yes,3,0,0.0004259548487860287,0.0,3.030668749112594,3.0,3,0
No,No,No,No internet service,No internet service,No,No,No internet service,"(64.8, 72.0]",Mailed check,No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",Yes,Male,Yes,No internet service,3,0,0.0004259548487860287,0.0,3.030668749112594,3.0,3,0
DSL,No,No,No,Yes,No,No,No,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(48.4, 58.45]",No,Female,Yes,Yes,3,2,0.0004259548487860287,0.6666666666666666,3.030668749112594,3.0,3,2
DSL,No,No,No,No,No,No,No,"(-0.073, 7.2]",Mailed check,No,Month-to-month,Yes,"(48.4, 58.45]",No,Male,Yes,No,3,1,0.0004259548487860287,0.3333333333333333,3.030668749112594,3.0,3,1
Fiber optic,No,No,No,No,Yes,Yes,Yes,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(78.55, 88.6]",Yes,Female,Yes,No,3,2,0.0004259548487860287,0.6666666666666666,3.030668749112594,3.0,3,2
No,No,No,No internet service,No internet service,No,No,No internet service,"(64.8, 72.0]",Bank transfer (automatic),No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",Yes,Male,Yes,No internet service,3,0,0.0004259548487860287,0.0,3.030668749112594,3.0,3,0
Fiber optic,No,No,Yes,Yes,Yes,No,Yes,"(64.8, 72.0]",Credit card (automatic),Yes,Two year,Yes,"(108.7, 118.75]",Yes,Female,Yes,Yes,3,0,0.0004259548487860287,0.0,3.030668749112594,3.0,3,0
No,No,No,No internet service,No internet service,No,No,No internet service,"(57.6, 64.8]",Mailed check,No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,3,1,0.0004259548487860287,0.3333333333333333,3.030668749112594,3.0,3,1
Fiber optic,No,No,No,No,Yes,No,No,"(-0.073, 7.2]",Electronic check,Yes,Month-to-month,No,"(68.5, 78.55]",No,Female,Yes,No,3,2,0.0004259548487860287,0.6666666666666666,3.030668749112594,3.0,3,2
DSL,No,No,Yes,Yes,Yes,No,Yes,"(64.8, 72.0]",Bank transfer (automatic),Yes,Two year,Yes,"(58.45, 68.5]",No phone service,Male,No,Yes,3,0,0.0004259548487860287,0.0,3.030668749112594,3.0,3,0
Fiber optic,No,No,No,No,Yes,No,No,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(78.55, 88.6]",Yes,Male,Yes,Yes,3,2,0.0004259548487860287,0.6666666666666666,3.030668749112594,3.0,3,2
Fiber optic,No,Yes,No,No,Yes,No,No,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(68.5, 78.55]",No,Male,Yes,No,3,3,0.0004259548487860287,1.0,3.030668749112594,3.0,3,3
No,No,Yes,No internet service,No internet service,No,No,No internet service,"(57.6, 64.8]",Mailed check,No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,3,0,0.0004259548487860287,0.0,3.030668749112594,3.0,3,0
Fiber optic,No,No,No,No,Yes,No,No,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(68.5, 78.55]",No,Male,Yes,Yes,3,1,0.0004259548487860287,0.3333333333333333,3.030668749112594,3.0,3,1
Fiber optic,No,Yes,No,No,Yes,No,No,"(-0.073, 7.2]",Credit card (automatic),No,Month-to-month,No,"(68.5, 78.55]",Yes,Female,Yes,No,3,3,0.0004259548487860287,1.0,3.030668749112594,3.0,3,3
No,No,No,No internet service,No internet service,No,No,No internet service,"(64.8, 72.0]",Credit card (automatic),No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,3,0,0.0004259548487860287,0.0,3.030668749112594,3.0,3,0
Fiber optic,No,No,Yes,No,Yes,No,Yes,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(88.6, 98.65]",Yes,Male,Yes,No,3,2,0.0004259548487860287,0.6666666666666666,3.030668749112594,3.0,3,2
Fiber optic,No,No,No,No,Yes,No,No,"(-0.073, 7.2]",Mailed check,No,Month-to-month,No,"(78.55, 88.6]",Yes,Female,Yes,Yes,3,1,0.0004259548487860287,0.3333333333333333,3.030668749112594,3.0,3,1
No,No,No,No internet service,No internet service,No,No,No internet service,"(50.4, 57.6]",Mailed check,No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,3,0,0.0004259548487860287,0.0,3.030668749112594,3.0,3,0
No,Yes,Yes,No internet service,No internet service,No,No,No internet service,"(14.4, 21.6]",Mailed check,No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,3,0,0.0004259548487860287,0.0,3.030668749112594,3.0,3,0
No,Yes,Yes,No internet service,No internet service,Yes,No,No internet service,"(64.8, 72.0]",Bank transfer (automatic),No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",Yes,Male,Yes,No internet service,3,0,0.0004259548487860287,0.0,3.030668749112594,3.0,3,0
No,No,No,No internet service,No internet service,No,No,No internet service,"(14.4, 21.6]",Credit card (automatic),No internet service,Month-to-month,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,3,0,0.0004259548487860287,0.0,3.030668749112594,3.0,3,0
No,No,No,No internet service,No internet service,No,No,No internet service,"(14.4, 21.6]",Credit card (automatic),No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,3,0,0.0004259548487860287,0.0,3.030668749112594,3.0,3,0
No,Yes,Yes,No internet service,No internet service,No,No,No internet service,"(14.4, 21.6]",Bank transfer (automatic),No internet service,One year,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,3,0,0.0004259548487860287,0.0,3.030668749112594,3.0,3,0
Fiber optic,No,No,Yes,No,No,No,Yes,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(88.6, 98.65]",No,Female,Yes,No,3,3,0.0004259548487860287,1.0,3.030668749112594,3.0,3,3
No,Yes,Yes,No internet service,No internet service,No,No,No internet service,"(7.2, 14.4]",Mailed check,No internet service,One year,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,3,0,0.0004259548487860287,0.0,3.030668749112594,3.0,3,0
No,Yes,Yes,No internet service,No internet service,No,No,No internet service,"(7.2, 14.4]",Mailed check,No internet service,One year,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,3,0,0.0004259548487860287,0.0,3.030668749112594,3.0,3,0
No,No,No,No internet service,No internet service,No,No,No internet service,"(14.4, 21.6]",Mailed check,No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,3,0,0.0004259548487860287,0.0,3.030668749112594,3.0,3,0
No,Yes,Yes,No internet service,No internet service,Yes,No,No internet service,"(64.8, 72.0]",Credit card (automatic),No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,3,0,0.0004259548487860287,0.0,3.030668749112594,3.0,3,0
No,No,No,No internet service,No internet service,No,No,No internet service,"(28.8, 36.0]",Mailed check,No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,3,0,0.0004259548487860287,0.0,3.030668749112594,3.0,3,0
No,No,No,No internet service,No internet service,No,No,No internet service,"(28.8, 36.0]",Mailed check,No internet service,One year,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,3,0,0.0004259548487860287,0.0,3.030668749112594,3.0,3,0
No,No,Yes,No internet service,No internet service,Yes,No,No internet service,"(-0.073, 7.2]",Mailed check,No internet service,Month-to-month,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,3,0,0.0004259548487860287,0.0,3.030668749112594,3.0,3,0
No,Yes,Yes,No internet service,No internet service,No,No,No internet service,"(-0.073, 7.2]",Mailed check,No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",Yes,Male,Yes,No internet service,3,0,0.0004259548487860287,0.0,3.030668749112594,3.0,3,0
Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,"(64.8, 72.0]",Electronic check,Yes,Month-to-month,No,"(98.65, 108.7]",Yes,Male,Yes,Yes,3,2,0.0004259548487860287,0.6666666666666666,3.030668749112594,3.0,3,2
No,Yes,Yes,No internet service,No internet service,No,No,No internet service,"(-0.073, 7.2]",Mailed check,No internet service,One year,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,3,0,0.0004259548487860287,0.0,3.030668749112594,3.0,3,0
Fiber optic,No,Yes,Yes,Yes,No,No,Yes,"(64.8, 72.0]",Credit card (automatic),Yes,Two year,Yes,"(108.7, 118.75]",Yes,Male,Yes,Yes,3,0,0.0004259548487860287,0.0,3.030668749112594,3.0,3,0
No,No,No,No internet service,No internet service,No,No,No internet service,"(7.2, 14.4]",Mailed check,No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,3,0,0.0004259548487860287,0.0,3.030668749112594,3.0,3,0
No,No,No,No internet service,No internet service,No,No,No internet service,"(7.2, 14.4]",Mailed check,No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,3,0,0.0004259548487860287,0.0,3.030668749112594,3.0,3,0
DSL,No,No,No,No,No,No,No,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(48.4, 58.45]",No,Female,Yes,Yes,3,1,0.0004259548487860287,0.3333333333333333,3.030668749112594,3.0,3,1
Fiber optic,No,No,Yes,Yes,Yes,No,Yes,"(64.8, 72.0]",Bank transfer (automatic),Yes,One year,Yes,"(108.7, 118.75]",Yes,Male,Yes,Yes,3,1,0.0004259548487860287,0.3333333333333333,3.030668749112594,3.0,3,1
Fiber optic,No,No,No,No,Yes,No,No,"(7.2, 14.4]",Electronic check,No,Month-to-month,No,"(68.5, 78.55]",No,Male,Yes,No,3,1,0.0004259548487860287,0.3333333333333333,3.030668749112594,3.0,3,1
Fiber optic,No,Yes,Yes,Yes,Yes,No,Yes,"(64.8, 72.0]",Bank transfer (automatic),Yes,Two year,Yes,"(108.7, 118.75]",Yes,Male,Yes,Yes,3,0,0.0004259548487860287,0.0,3.030668749112594,3.0,3,0
Fiber optic,No,No,No,No,Yes,No,No,"(7.2, 14.4]",Electronic check,No,Month-to-month,No,"(68.5, 78.55]",Yes,Male,Yes,No,3,0,0.0004259548487860287,0.0,3.030668749112594,3.0,3,0
No,No,Yes,No internet service,No internet service,No,No,No internet service,"(64.8, 72.0]",Credit card (automatic),No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,3,0,0.0004259548487860287,0.0,3.030668749112594,3.0,3,0
Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,"(36.0, 43.2]",Electronic check,Yes,Month-to-month,No,"(98.65, 108.7]",Yes,Male,Yes,Yes,3,2,0.0004259548487860287,0.6666666666666666,3.030668749112594,3.0,3,2
No,No,No,No internet service,No internet service,No,No,No internet service,"(50.4, 57.6]",Bank transfer (automatic),No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,3,0,0.0004259548487860287,0.0,3.030668749112594,3.0,3,0
DSL,No,No,No,No,No,No,No,"(-0.073, 7.2]",Mailed check,No,Month-to-month,No,"(48.4, 58.45]",No,Male,Yes,Yes,3,1,0.0004259548487860287,0.3333333333333333,3.030668749112594,3.0,3,1
No,Yes,Yes,No internet service,No internet service,Yes,No,No internet service,"(57.6, 64.8]",Mailed check,No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",Yes,Female,Yes,No internet service,3,0,0.0004259548487860287,0.0,3.030668749112594,3.0,3,0
DSL,No,No,No,No,Yes,No,Yes,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(48.4, 58.45]",No,Male,Yes,No,3,1,0.0004259548487860287,0.3333333333333333,3.030668749112594,3.0,3,1
