PaymentMethod,OnlineSecurity,DeviceProtection,MultipleLines,Partner,SeniorCitizen,Contract,PhoneService,tenure_bins,InternetService,Dependents,TechSupport,PaperlessBilling,gender,StreamingTV,OnlineBackup,monthly_charges_bins,StreamingMovies,customerID,Churn
Electronic check,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,"(43.2, 50.4]",Fiber optic,No,No,Yes,Male,Yes,No,"(88.6, 98.65]",No,ea764636-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),No internet service,No internet service,Yes,Yes,No,Two year,Yes,"(64.8, 72.0]",No,Yes,No internet service,No,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e7d3964a-773a-11ec-b2a1-acde48001122,0
Electronic check,No,No,Yes,Yes,Yes,Month-to-month,Yes,"(-0.073, 7.2]",Fiber optic,No,No,Yes,Male,Yes,No,"(88.6, 98.65]",Yes,e93929c8-773a-11ec-b2a1-acde48001122,1
Bank transfer (automatic),No,No,No,No,No,Month-to-month,Yes,"(-0.073, 7.2]",DSL,No,No,Yes,Male,No,No,"(38.35, 48.4]",No,e7f22560-773a-11ec-b2a1-acde48001122,1
Mailed check,Yes,No,No phone service,Yes,No,One year,No,"(64.8, 72.0]",DSL,Yes,No,No,Male,Yes,Yes,"(38.35, 48.4]",No,efe2232e-773a-11ec-b2a1-acde48001122,0
Electronic check,No,Yes,Yes,No,No,Month-to-month,Yes,"(21.6, 28.8]",Fiber optic,No,No,Yes,Female,No,No,"(78.55, 88.6]",No,e9fcba50-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),No,Yes,No phone service,Yes,No,Two year,No,"(64.8, 72.0]",DSL,Yes,Yes,No,Female,Yes,Yes,"(58.45, 68.5]",Yes,fbfb0ec8-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),No,Yes,Yes,Yes,No,Month-to-month,Yes,"(28.8, 36.0]",Fiber optic,No,Yes,Yes,Female,No,No,"(88.6, 98.65]",Yes,fdeddf4e-773a-11ec-b2a1-acde48001122,0
Electronic check,No,Yes,No,No,No,Month-to-month,Yes,"(7.2, 14.4]",Fiber optic,No,No,Yes,Female,Yes,No,"(88.6, 98.65]",Yes,ecb5e7c6-773a-11ec-b2a1-acde48001122,1
Credit card (automatic),No internet service,No internet service,No,Yes,No,One year,Yes,"(64.8, 72.0]",No,Yes,No internet service,Yes,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,fd078a8a-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),No internet service,No internet service,Yes,No,No,Two year,Yes,"(7.2, 14.4]",No,No,No internet service,No,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,f3d0af1e-773a-11ec-b2a1-acde48001122,0
Mailed check,No internet service,No internet service,No,No,No,Month-to-month,Yes,"(28.8, 36.0]",No,No,No internet service,No,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,edd018d4-773a-11ec-b2a1-acde48001122,0
Electronic check,No,Yes,Yes,No,No,Month-to-month,Yes,"(-0.073, 7.2]",Fiber optic,No,No,Yes,Male,Yes,No,"(88.6, 98.65]",No,e9042de0-773a-11ec-b2a1-acde48001122,1
Bank transfer (automatic),No,Yes,Yes,No,No,One year,Yes,"(64.8, 72.0]",Fiber optic,No,No,Yes,Female,Yes,No,"(88.6, 98.65]",No,f8797a5a-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),No internet service,No internet service,No,No,No,Two year,Yes,"(36.0, 43.2]",No,No,No internet service,Yes,Female,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e850e2a8-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),Yes,No,No,No,No,Month-to-month,Yes,"(28.8, 36.0]",DSL,No,No,Yes,Female,No,Yes,"(48.4, 58.45]",No,f416b4fa-773a-11ec-b2a1-acde48001122,0
Mailed check,No internet service,No internet service,No,No,No,Month-to-month,Yes,"(-0.073, 7.2]",No,No,No internet service,No,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e7a8bd4e-773a-11ec-b2a1-acde48001122,1
Bank transfer (automatic),No,No,Yes,No,Yes,Month-to-month,Yes,"(50.4, 57.6]",Fiber optic,No,No,Yes,Male,No,No,"(68.5, 78.55]",No,f5b3131c-773a-11ec-b2a1-acde48001122,0
Mailed check,No,Yes,No,No,No,Month-to-month,Yes,"(-0.073, 7.2]",Fiber optic,No,No,No,Male,No,No,"(68.5, 78.55]",No,ee4a36b4-773a-11ec-b2a1-acde48001122,1
Bank transfer (automatic),No internet service,No internet service,No,No,No,One year,Yes,"(7.2, 14.4]",No,No,No internet service,Yes,Female,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e96808ec-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),Yes,Yes,Yes,Yes,No,Two year,Yes,"(64.8, 72.0]",Fiber optic,No,Yes,Yes,Female,Yes,No,"(108.7, 118.75]",Yes,fb6613cc-773a-11ec-b2a1-acde48001122,0
Electronic check,Yes,No,Yes,Yes,No,One year,Yes,"(21.6, 28.8]",Fiber optic,Yes,No,No,Male,Yes,Yes,"(98.65, 108.7]",Yes,f03f34e2-773a-11ec-b2a1-acde48001122,1
Electronic check,No,Yes,Yes,No,No,Month-to-month,Yes,"(-0.073, 7.2]",Fiber optic,No,Yes,Yes,Female,No,No,"(78.55, 88.6]",No,e9e63104-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),No,Yes,Yes,Yes,No,Two year,Yes,"(50.4, 57.6]",Fiber optic,Yes,Yes,Yes,Male,No,No,"(88.6, 98.65]",Yes,f7624732-773a-11ec-b2a1-acde48001122,1
Mailed check,No internet service,No internet service,Yes,No,No,Two year,Yes,"(57.6, 64.8]",No,No,No internet service,No,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e9a95ad6-773a-11ec-b2a1-acde48001122,0
Electronic check,No,No,No,No,Yes,Month-to-month,Yes,"(-0.073, 7.2]",Fiber optic,No,No,Yes,Female,No,No,"(68.5, 78.55]",No,e7ae010a-773a-11ec-b2a1-acde48001122,1
Mailed check,No internet service,No internet service,No,Yes,No,One year,Yes,"(43.2, 50.4]",No,Yes,No internet service,No,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,ede88626-773a-11ec-b2a1-acde48001122,0
Mailed check,Yes,No,No phone service,No,No,Month-to-month,No,"(-0.073, 7.2]",DSL,Yes,No,No,Female,No,No,"(28.3, 38.35]",No,f00e13e4-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),Yes,Yes,Yes,Yes,No,Two year,Yes,"(36.0, 43.2]",DSL,Yes,Yes,Yes,Male,Yes,No,"(78.55, 88.6]",Yes,f4798ad0-773a-11ec-b2a1-acde48001122,0
Electronic check,Yes,No,No,No,No,Month-to-month,Yes,"(-0.073, 7.2]",DSL,Yes,No,Yes,Male,No,No,"(48.4, 58.45]",No,ea48a438-773a-11ec-b2a1-acde48001122,1
Electronic check,No,No,No,No,Yes,Month-to-month,Yes,"(14.4, 21.6]",Fiber optic,No,No,Yes,Male,No,Yes,"(68.5, 78.55]",No,faa2b044-773a-11ec-b2a1-acde48001122,1
Electronic check,No,No,Yes,No,No,Month-to-month,Yes,"(-0.073, 7.2]",Fiber optic,No,No,Yes,Female,Yes,No,"(78.55, 88.6]",No,e81a2146-773a-11ec-b2a1-acde48001122,1
Bank transfer (automatic),No,No,No,Yes,No,Month-to-month,Yes,"(28.8, 36.0]",Fiber optic,Yes,No,Yes,Male,No,No,"(68.5, 78.55]",No,f6ed1688-773a-11ec-b2a1-acde48001122,1
Mailed check,No internet service,No internet service,No,No,No,One year,Yes,"(7.2, 14.4]",No,No,No internet service,Yes,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e8b8ab7c-773a-11ec-b2a1-acde48001122,0
Mailed check,No internet service,No internet service,No,No,No,One year,Yes,"(14.4, 21.6]",No,No,No internet service,No,Female,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e7cd7df0-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),Yes,No,No,No,No,One year,Yes,"(64.8, 72.0]",DSL,No,Yes,No,Female,No,Yes,"(58.45, 68.5]",No,fd893e72-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),No,No,No,No,No,Month-to-month,Yes,"(-0.073, 7.2]",DSL,No,No,No,Female,No,No,"(38.35, 48.4]",No,eb54152e-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),No internet service,No internet service,No,No,No,Month-to-month,Yes,"(-0.073, 7.2]",No,No,No internet service,No,Female,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e818576c-773a-11ec-b2a1-acde48001122,1
Credit card (automatic),No,Yes,No,Yes,No,One year,Yes,"(50.4, 57.6]",Fiber optic,Yes,No,Yes,Male,Yes,Yes,"(88.6, 98.65]",Yes,fc1094a0-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),No internet service,No internet service,No,No,No,Month-to-month,Yes,"(-0.073, 7.2]",No,No,No internet service,No,Female,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e7b4f37a-773a-11ec-b2a1-acde48001122,0
Mailed check,No internet service,No internet service,No,No,No,Month-to-month,Yes,"(-0.073, 7.2]",No,No,No internet service,No,Female,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e7a99368-773a-11ec-b2a1-acde48001122,0
Mailed check,No internet service,No internet service,No,No,No,Month-to-month,Yes,"(-0.073, 7.2]",No,No,No internet service,No,Female,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e7a99570-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),No,Yes,No,Yes,No,Two year,Yes,"(50.4, 57.6]",DSL,Yes,Yes,Yes,Male,No,No,"(48.4, 58.45]",No,fc355a60-773a-11ec-b2a1-acde48001122,0
Mailed check,Yes,No,No,Yes,No,Month-to-month,Yes,"(21.6, 28.8]",DSL,Yes,Yes,Yes,Male,No,Yes,"(48.4, 58.45]",No,ef919ba2-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),No,No,Yes,No,No,Month-to-month,Yes,"(7.2, 14.4]",Fiber optic,No,No,Yes,Male,Yes,Yes,"(98.65, 108.7]",Yes,fc667ea6-773a-11ec-b2a1-acde48001122,0
Electronic check,No,Yes,Yes,No,No,Two year,Yes,"(36.0, 43.2]",Fiber optic,No,No,Yes,Female,Yes,Yes,"(98.65, 108.7]",Yes,eb3a6b74-773a-11ec-b2a1-acde48001122,1
Electronic check,No,No,No,Yes,Yes,Month-to-month,Yes,"(14.4, 21.6]",Fiber optic,No,No,No,Male,No,No,"(68.5, 78.55]",Yes,ebf3cf2e-773a-11ec-b2a1-acde48001122,1
Mailed check,Yes,No,No,Yes,No,Month-to-month,Yes,"(21.6, 28.8]",DSL,No,Yes,No,Male,No,Yes,"(58.45, 68.5]",No,ef93eda8-773a-11ec-b2a1-acde48001122,0
Electronic check,No,No,No,Yes,Yes,Month-to-month,Yes,"(14.4, 21.6]",Fiber optic,No,No,Yes,Male,No,No,"(68.5, 78.55]",No,ebf1ed80-773a-11ec-b2a1-acde48001122,1
Mailed check,No internet service,No internet service,No,No,No,Two year,Yes,"(28.8, 36.0]",No,No,No internet service,No,Female,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,eddcba94-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),Yes,No,Yes,No,Yes,Month-to-month,Yes,"(57.6, 64.8]",Fiber optic,No,No,Yes,Male,Yes,Yes,"(98.65, 108.7]",Yes,f2f8f682-773a-11ec-b2a1-acde48001122,0
Electronic check,No,No,No,Yes,No,Month-to-month,Yes,"(7.2, 14.4]",Fiber optic,Yes,No,No,Female,No,No,"(68.5, 78.55]",No,fa883bba-773a-11ec-b2a1-acde48001122,0
Electronic check,No,No,No,No,No,Month-to-month,Yes,"(43.2, 50.4]",Fiber optic,No,Yes,No,Male,Yes,Yes,"(98.65, 108.7]",Yes,fa285006-773a-11ec-b2a1-acde48001122,1
Bank transfer (automatic),Yes,Yes,No,Yes,No,One year,Yes,"(36.0, 43.2]",Fiber optic,No,No,Yes,Female,Yes,Yes,"(98.65, 108.7]",Yes,f52503ce-773a-11ec-b2a1-acde48001122,0
Electronic check,No,No,No phone service,Yes,No,Month-to-month,No,"(28.8, 36.0]",DSL,No,No,Yes,Male,Yes,No,"(38.35, 48.4]",Yes,ec346020-773a-11ec-b2a1-acde48001122,0
Electronic check,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,"(43.2, 50.4]",Fiber optic,No,No,Yes,Female,Yes,Yes,"(88.6, 98.65]",No,ea70ab7c-773a-11ec-b2a1-acde48001122,1
Electronic check,No,Yes,No,Yes,No,Two year,Yes,"(36.0, 43.2]",Fiber optic,Yes,Yes,Yes,Female,Yes,No,"(98.65, 108.7]",Yes,ecdc9b96-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),Yes,No,Yes,No,No,Month-to-month,Yes,"(21.6, 28.8]",DSL,No,No,Yes,Female,Yes,Yes,"(68.5, 78.55]",No,f2e9ac68-773a-11ec-b2a1-acde48001122,0
Electronic check,No,No,No,No,No,Month-to-month,Yes,"(7.2, 14.4]",DSL,No,No,No,Female,No,No,"(38.35, 48.4]",No,fa3144ae-773a-11ec-b2a1-acde48001122,1
Mailed check,No internet service,No internet service,No,Yes,No,Month-to-month,Yes,"(28.8, 36.0]",No,Yes,No internet service,Yes,Female,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,edbdc26a-773a-11ec-b2a1-acde48001122,1
Credit card (automatic),No,Yes,Yes,Yes,No,Two year,Yes,"(64.8, 72.0]",Fiber optic,No,Yes,Yes,Male,Yes,Yes,"(98.65, 108.7]",Yes,fe7923a6-773a-11ec-b2a1-acde48001122,1
Credit card (automatic),Yes,No,No,No,No,One year,Yes,"(50.4, 57.6]",Fiber optic,No,No,Yes,Female,Yes,Yes,"(98.65, 108.7]",Yes,fd8df6a6-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),No,Yes,No,Yes,No,Two year,Yes,"(64.8, 72.0]",DSL,Yes,No,Yes,Male,Yes,Yes,"(68.5, 78.55]",Yes,f7f43f8e-773a-11ec-b2a1-acde48001122,0
Electronic check,No,No,Yes,Yes,No,Month-to-month,Yes,"(7.2, 14.4]",Fiber optic,No,No,Yes,Female,Yes,No,"(88.6, 98.65]",Yes,ed318750-773a-11ec-b2a1-acde48001122,1
Credit card (automatic),Yes,No,Yes,No,No,Month-to-month,Yes,"(7.2, 14.4]",DSL,No,No,Yes,Male,No,No,"(48.4, 58.45]",No,f964a19c-773a-11ec-b2a1-acde48001122,0
Mailed check,No internet service,No internet service,No,No,No,One year,Yes,"(14.4, 21.6]",No,No,No internet service,No,Female,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e7cd7da0-773a-11ec-b2a1-acde48001122,0
Mailed check,No,No,No,Yes,Yes,Month-to-month,Yes,"(28.8, 36.0]",Fiber optic,Yes,No,Yes,Male,Yes,Yes,"(88.6, 98.65]",Yes,f1d718ce-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),Yes,Yes,Yes,Yes,No,Two year,Yes,"(64.8, 72.0]",DSL,Yes,Yes,Yes,Male,Yes,Yes,"(88.6, 98.65]",Yes,e7d717f2-773a-11ec-b2a1-acde48001122,0
Mailed check,No,No,No,No,No,Month-to-month,Yes,"(21.6, 28.8]",Fiber optic,No,No,Yes,Female,No,Yes,"(78.55, 88.6]",Yes,f1b54a50-773a-11ec-b2a1-acde48001122,1
Electronic check,No,Yes,No,Yes,No,Month-to-month,Yes,"(36.0, 43.2]",Fiber optic,Yes,No,Yes,Female,Yes,No,"(88.6, 98.65]",Yes,eccb14d4-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),No,No,Yes,No,No,Month-to-month,Yes,"(-0.073, 7.2]",Fiber optic,No,No,Yes,Female,No,No,"(68.5, 78.55]",No,f6d3ca52-773a-11ec-b2a1-acde48001122,1
Credit card (automatic),Yes,Yes,No phone service,Yes,No,Two year,No,"(64.8, 72.0]",DSL,Yes,Yes,Yes,Male,Yes,Yes,"(58.45, 68.5]",Yes,e84538b8-773a-11ec-b2a1-acde48001122,0
Electronic check,No,Yes,Yes,Yes,No,One year,Yes,"(57.6, 64.8]",Fiber optic,No,No,Yes,Female,No,Yes,"(88.6, 98.65]",Yes,e9e463ce-773a-11ec-b2a1-acde48001122,0
Electronic check,No,Yes,No,Yes,Yes,One year,Yes,"(50.4, 57.6]",Fiber optic,No,Yes,Yes,Female,Yes,Yes,"(88.6, 98.65]",No,ea347dd2-773a-11ec-b2a1-acde48001122,0
Electronic check,Yes,Yes,No,Yes,No,Month-to-month,Yes,"(-0.073, 7.2]",DSL,Yes,Yes,Yes,Female,Yes,Yes,"(68.5, 78.55]",No,f0c831de-773a-11ec-b2a1-acde48001122,0
Electronic check,No internet service,No internet service,No,Yes,No,One year,Yes,"(50.4, 57.6]",No,Yes,No internet service,Yes,Female,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,eaa277b0-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),No,Yes,Yes,No,No,One year,Yes,"(50.4, 57.6]",Fiber optic,No,No,Yes,Female,Yes,Yes,"(88.6, 98.65]",No,f87cd452-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),Yes,No,No,No,No,Month-to-month,Yes,"(43.2, 50.4]",Fiber optic,No,Yes,Yes,Male,No,Yes,"(88.6, 98.65]",Yes,fd65fd04-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),No internet service,No internet service,No,No,No,One year,Yes,"(21.6, 28.8]",No,No,No internet service,Yes,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e89256e8-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),Yes,Yes,Yes,Yes,No,Two year,Yes,"(64.8, 72.0]",Fiber optic,No,Yes,Yes,Male,Yes,Yes,"(108.7, 118.75]",Yes,e9b0df5e-773a-11ec-b2a1-acde48001122,0
Electronic check,No,No,Yes,Yes,No,Month-to-month,Yes,"(50.4, 57.6]",Fiber optic,Yes,No,Yes,Female,Yes,Yes,"(98.65, 108.7]",Yes,ed24d69a-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),No,Yes,No,No,No,Month-to-month,Yes,"(-0.073, 7.2]",DSL,No,Yes,Yes,Male,Yes,No,"(58.45, 68.5]",No,fbd28d90-773a-11ec-b2a1-acde48001122,0
Mailed check,No internet service,No internet service,No,Yes,No,Two year,Yes,"(50.4, 57.6]",No,Yes,No internet service,No,Female,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e7c30406-773a-11ec-b2a1-acde48001122,0
Mailed check,No,No,Yes,No,No,Month-to-month,Yes,"(14.4, 21.6]",DSL,No,No,Yes,Female,No,No,"(48.4, 58.45]",No,f1f42fea-773a-11ec-b2a1-acde48001122,0
Mailed check,No internet service,No internet service,No,No,No,Month-to-month,Yes,"(21.6, 28.8]",No,No,No internet service,Yes,Female,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e897aecc-773a-11ec-b2a1-acde48001122,0
Electronic check,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,"(43.2, 50.4]",Fiber optic,Yes,No,Yes,Male,Yes,Yes,"(98.65, 108.7]",No,f2cbede0-773a-11ec-b2a1-acde48001122,1
Mailed check,No internet service,No internet service,No,Yes,No,Two year,Yes,"(7.2, 14.4]",No,Yes,No internet service,No,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e7ea4ff2-773a-11ec-b2a1-acde48001122,0
Electronic check,No,No,Yes,No,Yes,Month-to-month,Yes,"(21.6, 28.8]",Fiber optic,No,No,Yes,Male,No,Yes,"(78.55, 88.6]",No,e8d1ec68-773a-11ec-b2a1-acde48001122,1
Mailed check,No,No,Yes,No,No,Month-to-month,Yes,"(-0.073, 7.2]",Fiber optic,No,No,No,Female,Yes,No,"(88.6, 98.65]",Yes,f1ebec86-773a-11ec-b2a1-acde48001122,1
Electronic check,No,No,No,Yes,No,Month-to-month,Yes,"(-0.073, 7.2]",Fiber optic,Yes,No,No,Female,No,No,"(78.55, 88.6]",Yes,fa73b10e-773a-11ec-b2a1-acde48001122,1
Credit card (automatic),Yes,Yes,Yes,Yes,No,Two year,Yes,"(64.8, 72.0]",Fiber optic,No,Yes,Yes,Female,Yes,Yes,"(108.7, 118.75]",Yes,e7f4e53e-773a-11ec-b2a1-acde48001122,0
Mailed check,No internet service,No internet service,No,No,No,Month-to-month,Yes,"(-0.073, 7.2]",No,No,No internet service,No,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e7a8bf92-773a-11ec-b2a1-acde48001122,1
Electronic check,No,No,No,No,No,Month-to-month,Yes,"(-0.073, 7.2]",Fiber optic,No,No,Yes,Male,No,No,"(78.55, 88.6]",Yes,e7d0f2c8-773a-11ec-b2a1-acde48001122,1
Electronic check,No,No,Yes,Yes,No,Month-to-month,Yes,"(14.4, 21.6]",Fiber optic,No,No,Yes,Male,No,No,"(68.5, 78.55]",No,e8941f28-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),No,No,Yes,Yes,No,Month-to-month,Yes,"(50.4, 57.6]",Fiber optic,No,No,Yes,Female,Yes,No,"(78.55, 88.6]",No,f5fec42e-773a-11ec-b2a1-acde48001122,0
Electronic check,Yes,No,Yes,Yes,Yes,One year,Yes,"(21.6, 28.8]",Fiber optic,No,No,Yes,Male,No,No,"(88.6, 98.65]",Yes,f0862528-773a-11ec-b2a1-acde48001122,1
Mailed check,Yes,Yes,No phone service,Yes,No,Two year,No,"(64.8, 72.0]",DSL,Yes,Yes,No,Male,No,No,"(38.35, 48.4]",No,ef771e12-773a-11ec-b2a1-acde48001122,0
Electronic check,No,No,No,No,No,Month-to-month,Yes,"(-0.073, 7.2]",Fiber optic,No,No,Yes,Female,Yes,No,"(88.6, 98.65]",Yes,e8121578-773a-11ec-b2a1-acde48001122,1
Credit card (automatic),No internet service,No internet service,No,Yes,No,Two year,Yes,"(21.6, 28.8]",No,Yes,No internet service,No,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,fd01baf6-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),Yes,Yes,Yes,Yes,No,Two year,Yes,"(57.6, 64.8]",DSL,No,Yes,No,Male,No,No,"(68.5, 78.55]",Yes,fae738a4-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),No,No,No,No,No,Month-to-month,Yes,"(7.2, 14.4]",DSL,Yes,Yes,Yes,Female,Yes,No,"(68.5, 78.55]",Yes,f4cec45a-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),Yes,No,No,Yes,No,Month-to-month,Yes,"(7.2, 14.4]",DSL,Yes,Yes,No,Female,No,Yes,"(58.45, 68.5]",No,f42d84c8-773a-11ec-b2a1-acde48001122,0
Electronic check,No,No,No,Yes,No,Month-to-month,Yes,"(21.6, 28.8]",Fiber optic,Yes,Yes,No,Male,Yes,No,"(78.55, 88.6]",No,ec164f2c-773a-11ec-b2a1-acde48001122,0
Electronic check,Yes,Yes,No,No,No,Month-to-month,Yes,"(28.8, 36.0]",Fiber optic,No,Yes,No,Female,No,No,"(78.55, 88.6]",No,f0b3de00-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),Yes,No,Yes,Yes,No,Two year,Yes,"(57.6, 64.8]",Fiber optic,No,Yes,Yes,Male,No,No,"(78.55, 88.6]",No,f9ab416a-773a-11ec-b2a1-acde48001122,0
Mailed check,No internet service,No internet service,No,No,No,Month-to-month,Yes,"(7.2, 14.4]",No,No,No internet service,No,Female,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e7b953e8-773a-11ec-b2a1-acde48001122,0
Electronic check,No,Yes,No,No,No,One year,Yes,"(21.6, 28.8]",Fiber optic,No,Yes,Yes,Male,No,Yes,"(78.55, 88.6]",No,ec909872-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),No internet service,No internet service,Yes,No,No,One year,Yes,"(64.8, 72.0]",No,No,No internet service,No,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,fd7a0290-773a-11ec-b2a1-acde48001122,0
Mailed check,No,Yes,No phone service,No,No,Month-to-month,No,"(21.6, 28.8]",DSL,Yes,No,Yes,Female,No,No,"(28.3, 38.35]",No,eed65cfc-773a-11ec-b2a1-acde48001122,0
Mailed check,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,"(43.2, 50.4]",Fiber optic,No,No,Yes,Male,No,No,"(78.55, 88.6]",No,ef49c99e-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),No,No,Yes,No,Yes,Month-to-month,Yes,"(14.4, 21.6]",Fiber optic,No,No,Yes,Male,No,No,"(68.5, 78.55]",No,fceaba4a-773a-11ec-b2a1-acde48001122,1
Bank transfer (automatic),No,No,No,No,No,Month-to-month,Yes,"(14.4, 21.6]",Fiber optic,No,Yes,Yes,Male,No,No,"(68.5, 78.55]",No,f6a8a430-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),No,No,No,No,No,Month-to-month,Yes,"(-0.073, 7.2]",DSL,No,No,Yes,Female,Yes,No,"(48.4, 58.45]",No,f459ffbc-773a-11ec-b2a1-acde48001122,1
Mailed check,No internet service,No internet service,No,Yes,No,Two year,Yes,"(28.8, 36.0]",No,Yes,No internet service,No,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e8065c42-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),No,Yes,No,No,No,One year,Yes,"(57.6, 64.8]",Fiber optic,No,Yes,Yes,Female,Yes,No,"(88.6, 98.65]",No,fb7e0a68-773a-11ec-b2a1-acde48001122,0
Mailed check,Yes,Yes,No,Yes,No,Month-to-month,Yes,"(64.8, 72.0]",DSL,No,No,Yes,Female,No,No,"(48.4, 58.45]",No,ef28c05a-773a-11ec-b2a1-acde48001122,0
Electronic check,No,No,No,No,No,Month-to-month,Yes,"(-0.073, 7.2]",Fiber optic,No,No,Yes,Male,No,Yes,"(78.55, 88.6]",Yes,e88b2c4c-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),No,No,Yes,Yes,No,Month-to-month,Yes,"(-0.073, 7.2]",Fiber optic,No,Yes,Yes,Male,No,No,"(78.55, 88.6]",No,f5ab4e7a-773a-11ec-b2a1-acde48001122,1
Electronic check,No,No,No,No,No,Month-to-month,Yes,"(-0.073, 7.2]",Fiber optic,No,No,No,Male,No,No,"(78.55, 88.6]",Yes,e82b1b04-773a-11ec-b2a1-acde48001122,1
